run_id,horizon_start,horizon_end_exclusive,dispatch_day,initial_soc_wh,soc_next_publish_wh,objective_horizon_eur,opt_revenue_dispatch_day_eur,opt_cycle_aging_cost_dispatch_day_eur,opt_revenue_dispatch_day_after_aging_eur,solver_status,solver_termination,n_horizon_steps,n_dispatch_steps,terminal_soc_enforced,real_revenue_dispatch_day_eur,real_rebap_settlement_dispatch_day_eur,real_revenue_dispatch_day_net_eur,scenario
0,2025-07-08,2025-07-09 10:45:00,2025-07-08,"5000,0","4584,0589473684195","0,06852808340066474","0,27109961873554367","0,3438791611757819","-0,07277954244023822",ok,optimal,139,96,False,"0,27109961873554367","0,23597299194456742","0,5070726106801111",source
1,2025-07-09,2025-07-10 10:45:00,2025-07-09,"4584,0589473684195","4275,866884964911","0,26830355744127277","0,03224017341298095","0,44307174963323875","-0,4108315762202578",ok,optimal,139,96,False,"0,03224017341298095","0,8052871251925816","0,8375272986055625",source
2,2025-07-10,2025-07-11 10:45:00,2025-07-10,"4275,866884964911","5707,652279701754","-0,188706314187717","0,39554847073801336","0,5341141371104945","-0,1385656663724811",ok,optimal,139,96,False,"0,39554847073801336","0,3696610765171399","0,7652095472551533",source
3,2025-07-11,2025-07-12 10:45:00,2025-07-11,"5707,652279701754","3043,9378060175277","0,976596300135856","1,6169763540596307","0,8780890760722408","0,73888727798739",ok,optimal,139,96,False,"1,6169763540596307","-0,3466635354869606","1,2703128185726702",source
4,2025-07-12,2025-07-13 10:45:00,2025-07-12,"3043,9378060175277","3957,3203518771916","1,3516800921463221","1,5255133107971974","0,5390734303717378","0,9864398804254595",ok,optimal,139,96,False,"1,5255133107971974","-0,32298912744923663","1,2025241833479607",source
5,2025-07-13,2025-07-14 10:45:00,2025-07-13,"3957,3203518771916","4387,732986421057","1,52470828369874","1,4012020707239952","0,5903628806560924","0,810839190067903",ok,optimal,139,96,False,"1,4012020707239954","-0,675662480638943","0,7255395900850524",source
6,2025-07-14,2025-07-15 10:45:00,2025-07-14,"4387,732986421057","4003,2832671134856","1,4443909179211154","2,0313386557611373","0,5775602041948787","1,4537784515662584",ok,optimal,139,96,False,"2,0313386557611373","-0,5518989124636567","1,4794397432974804",source
7,2025-07-15,2025-07-16 10:45:00,2025-07-15,"4003,2832671134856","3560,4946481228058","0,9359900434228179","1,484881282040615","0,6834133533965041","0,801467928644111",ok,optimal,139,96,False,"1,484881282040615","-0,40005057998997834","1,0848307020506367",source
8,2025-07-16,2025-07-17 10:45:00,2025-07-16,"3560,4946481228058","5051,297630578945","0,33328108072364093","0,1427988005137249","0,3162236336371437","-0,17342483312341883",ok,optimal,139,96,False,"0,1427988005137249","0,4697228687878877","0,6125216693016126",source
9,2025-07-17,2025-07-18 10:45:00,2025-07-17,"5051,297630578945","4734,879516933334","1,3081529424397327","1,0517954651789925","0,6667406056535794","0,3850548595254132",ok,optimal,139,96,False,"1,0517954651789927","0,09324745193793711","1,1450429171169298",source
10,2025-07-18,2025-07-19 10:45:00,2025-07-18,"4734,879516933334","3886,4745245964905","2,4600044401792047","2,5289631030247737","0,5637392228694411","1,9652238801553321",ok,optimal,139,96,False,"2,5289631030247732","-0,028878522604532653","2,5000845804202405",source
11,2025-07-19,2025-07-20 10:45:00,2025-07-19,"3886,4745245964905","3306,231908199999","0,9806888234783403","1,6646090906594944","0,7099709884554605","0,9546381022040339",ok,optimal,139,96,False,"1,6646090906594944","-0,4227700335857534","1,241839057073741",source
12,2025-07-20,2025-07-21 10:45:00,2025-07-20,"3306,231908199999","3948,280902870176","0,5103100937315599","1,1085932098732003","0,5751286659809681","0,5334645438922321",ok,optimal,139,96,False,"1,1085932098732003","0,4602987821767597","1,56889199204996",source
13,2025-07-21,2025-07-22 10:45:00,2025-07-21,"3948,280902870176","4004,033595300918","2,892182182455784","3,371129739916055","0,5680446728117942","2,803085067104261",ok,optimal,139,96,False,"3,371129739916055","-2,828616947375775","0,5425127925402802",source
14,2025-07-22,2025-07-23 10:45:00,2025-07-22,"4004,033595300918","6291,376929824562","0,9818751559373259","0,9793450912449706","0,42448254037581745","0,5548625508691531",ok,optimal,139,96,False,"0,9793450912449706","0,4958624164865775","1,475207507731548",source
15,2025-07-23,2025-07-24 10:45:00,2025-07-23,"6291,376929824562","4531,679210526316","1,052078189183879","1,8003968156597787","0,7898009541227322","1,0105958615370465",ok,optimal,139,96,False,"1,8003968156597787","-0,325736095700336","1,4746607199594426",source
16,2025-07-24,2025-07-25 10:45:00,2025-07-24,"4531,679210526316","3989,448896343862","-0,00962509981246118","0,5384009299763796","0,5978991217814857","-0,05949819180510599",ok,optimal,139,96,False,"0,5384009299763796","-0,6080864439574282","-0,06968551398104855",source
17,2025-07-25,2025-07-26 10:45:00,2025-07-25,"3989,448896343862","4750,216754385964","-0,8698836599577127","-0,2932264864880385","0,3566641577268306","-0,6498906442148691",ok,optimal,139,96,False,"-0,2932264864880385","0,9244098082588694","0,6311833217708309",source
18,2025-07-26,2025-07-27 10:45:00,2025-07-26,"4750,216754385964","3249,8888081385985","0,6606993244122463","1,2500772306744585","0,7975112956771608","0,4525659349972976",ok,optimal,139,96,False,"1,2500772306744585","-0,8687612144988277","0,3813160161756307",source
19,2025-07-27,2025-07-28 10:45:00,2025-07-27,"3249,8888081385985","5983,410263157895","0,30622923428587034","0,8640279668649604","0,39372304608730463","0,47030492077765584",ok,optimal,139,96,False,"0,8640279668649604","0,43578529989281417","1,2998132667577746",source
20,2025-07-28,2025-07-29 10:45:00,2025-07-28,"5983,410263157895","5499,999998923093","-0,28837183015297996","0,4401276374461618","0,5560647695135206","-0,11593713206735884",ok,optimal,139,96,False,"0,4401276374461618","-0,12200185995980369","0,3181257774863581",source
21,2025-07-29,2025-07-30 10:45:00,2025-07-29,"5499,999998923093","5941,883858649124","-0,2394829634405219","0,6816587766851336","0,6422224452213847","0,03943633146374895",ok,optimal,139,96,False,"0,6816587766851337","0,0986072090995625","0,7802659857846962",source
22,2025-07-30,2025-07-31 10:45:00,2025-07-30,"5941,883858649124","5071,772104263157","-0,05356223219595613","0,7287426321118274","0,6584176960912236","0,07032493602060388",ok,optimal,139,96,False,"0,7287426321118274","0,16367893179114645","0,8924215639029739",source
23,2025-07-31,2025-08-01 10:45:00,2025-07-31,"5071,772104263157","5274,338770929824","-0,021255796407413374","0,7630672246180501","0,6181407617147123","0,14492646290333788",ok,optimal,139,96,False,"0,7630672246180502","0,4702809728821839","1,233348197500234",source
24,2025-08-01,2025-08-02 10:45:00,2025-08-01,"5274,338770929824","3640,410173204218","-0,21871782848146948","0,6828083549808386","0,7989641402828327","-0,11615578530199404",ok,optimal,139,96,False,"0,6828083549808386","0,18278883741387114","0,8655971923947098",source
25,2025-08-02,2025-08-03 10:45:00,2025-08-02,"3640,410173204218","5581,564477684212","-0,1812994948945188","0,6370866851133608","0,4657823750618952","0,17130431005146562",ok,optimal,139,96,False,"0,6370866851133609","-0,003154670037811001","0,6339320150755499",source
26,2025-08-03,2025-08-04 10:45:00,2025-08-03,"5581,564477684212","6116,811842105287","-0,7554943964199705","0,07408335261302879","0,6202691469962718","-0,546185794383243",ok,optimal,139,96,False,"0,07408335261302879","0,09321516971298541","0,1672985223260142",source
27,2025-08-04,2025-08-05 10:45:00,2025-08-04,"6116,811842105287","5500,000001","0,5231931811069881","1,283351527108606","0,5303151571713862","0,7530363699372198",ok,optimal,139,96,False,"1,283351527108606","-0,31956373197894633","0,9637877951296597",source
28,2025-08-05,2025-08-06 10:45:00,2025-08-05,"5500,000001","4525,8340882807","-1,1843514811241977","-1,06615651045365","0,27006600771633515","-1,336222518169985",ok,optimal,139,96,False,"-1,06615651045365","0,6851313842574455","-0,38102512619620443",source
29,2025-08-06,2025-08-07 10:45:00,2025-08-06,"4525,8340882807","5775,04096491228","-1,409262209827431","-0,7008335053681982","0,5208355127980918","-1,2216690181662901",ok,optimal,139,96,False,"-0,7008335053681983","0,4088578366147104","-0,2919756687534879",source
30,2025-08-07,2025-08-08 10:45:00,2025-08-07,"5775,04096491228","5112,374912280702","0,40039220462564207","0,9670244775124253","0,6839349637950001","0,2830895137174253",ok,optimal,139,96,False,"0,9670244775124254","0,0060578481879660665","0,9730823257003914",source
31,2025-08-08,2025-08-09 10:45:00,2025-08-08,"5112,374912280702","4339,528156861361","0,26727771623613905","1,2065663294707294","0,7445948581585538","0,4619714713121756",ok,optimal,139,96,False,"1,2065663294707294","-1,0599252177604668","0,14664111171026273",source
32,2025-08-09,2025-08-10 10:45:00,2025-08-09,"4339,528156861361","4423,560103768413","0,15257754493979636","1,0847491704619998","0,6364021134102104","0,4483470570517894",ok,optimal,139,96,False,"1,0847491704619998","-0,28796545070978774","0,796783719752212",source
