run_id,dispatch_day,scenario,datetime,input_P_load_W,input_P_pv_forecast_W,input_price_EUR_MWh,opt_P_grid_in_W,opt_P_grid_out_W,opt_P_ch_W,opt_P_dis_W,opt_P_ch_seg1_W,opt_P_ch_seg2_W,opt_P_dis_seg1_W,opt_P_dis_seg2_W,opt_P_curt_W,opt_u_charging,opt_E_start_Wh,opt_E_end_Wh,opt_E_seg1_start_Wh,opt_E_seg2_start_Wh,opt_E_seg1_end_Wh,opt_E_seg2_end_Wh,opt_revenue_step_eur,opt_cycle_aging_cost_step_eur,opt_revenue_step_after_aging_eur,real_P_pv_W,real_P_curt_W,real_P_grid_in_W,real_P_grid_out_W,real_revenue_step_da_eur,real_grid_fee_step_eur,opt_P_grid_net_W,real_P_grid_net_W,real_imbalance_W,real_imbalance_price_eur_mwh,real_imbalance_energy_mwh,real_rebap_settlement_step_eur,real_revenue_step_eur,real_revenue_step_net_eur,real_revenue_step_net_after_aging_eur
74,2025-09-20,source,2025-09-20 12:45:00,"4056,9363333333354","6802,592544","-18,6","0,0","0,0","2745,6562106666647","0,0","0,0","2745,6562106666647","0,0","0,0","0,0",1,"6847,906650311902","7500,0","0,0","5347,906650311902","0,0","6000,0","-0,0","0,0","-0,0","3412,309666666666","0,0","3390,282877333334","0,0","0,015764815379600006","0,10880265324082003","0,0","3390,282877333334","3390,282877333334","1,78","0,0008475707193333335","-0,0015086758804133337","-0,10880265324082003","-0,11031132912123337","-0,11031132912123337"
74,2025-09-20,source,2025-09-20 13:00:00,"2926,8296666666683","6817,3198992","9,93","0,0","890,4902325333314","3000,0","0,0","3000,0","0,0","0,0","0,0","0,0",1,"7500,0","8212,5","0,0","6000,0","712,5","6000,0","0,0022106420022639955","0,0","0,0022106420022639955","3436,077","0,0","2490,752666666668","0,0","-0,006183293495000004","0,07993447995500004","-890,4902325333314","2490,752666666668","3381,2428991999996","-7,66","0,0008453107247999999","0,006475080151967999","-0,07772383795273605","-0,07124875780076804","-0,07124875780076804"
74,2025-09-20,source,2025-09-20 13:15:00,"3039,910000000001","6689,586852","4,92","0,0","649,6768519999991","3000,0","0,0","3000,0","0,0","0,0","0,0","0,0",1,"8212,5","8925,0","712,5","6000,0","1425,0","6000,0","0,000799102527959999","0,0","0,000799102527959999","3452,0839999999994","0,0","2587,8260000000023","0,0","-0,0031830259800000025","0,08304980590500008","-649,6768519999991","2587,8260000000023","3237,5028520000014","-4,28","0,0008093757130000004","0,0034641280516400016","-0,08225070337704007","-0,07878657532540007","-0,07878657532540007"
74,2025-09-20,source,2025-09-20 13:30:00,"3023,9050000000016","6591,9516876","-0,8","0,0","0,0","3000,0","0,0","3000,0","0,0","0,0","0,0","568,0466875999978",1,"8925,0","9637,5","1425,0","6000,0","2137,5","6000,0","-0,0","0,0","-0,0","3376,4163333333327","0,0","2647,488666666669","0,0","0,0005294977333333338","0,08496453003500008","0,0","2647,488666666669","2647,488666666669","-13,58","0,0006618721666666672","0,00898822402333334","-0,08496453003500008","-0,07597630601166674","-0,07597630601166674"
74,2025-09-20,source,2025-09-20 13:45:00,"3367,636666666668","6381,693702","-15,86","0,0","0,0","3000,0","0,0","3000,0","0,0","0,0","0,0","14,057035333331442",1,"9637,5","10350,0","2137,5","6000,0","2850,0","6000,0","-0,0","0,0","-0,0","3289,592666666665","0,0","3078,044000000003","0,0","0,012204444460000012","0,0987821270700001","0,0","3078,044000000003","3078,044000000003","-14,51","0,0007695110000000007","0,01116560461000001","-0,0987821270700001","-0,0876165224600001","-0,0876165224600001"
74,2025-09-20,source,2025-09-20 14:00:00,"4000,2220000000016","6009,591203999999","-15,7","0,0","0,0","2009,3692039999978","0,0","2009,3692039999978","0,0","0,0","0,0","0,0",1,"10350,0","10827,225186295234","2850,0","6000,0","3327,2251862952344","6000,0","-0,0","0,0","-0,0","3253,9936666666663","0,0","2755,597537333333","0,0","0,010815720334033333","0,08843401396686999","0,0","2755,597537333333","2755,597537333333","-8,47","0,0006888993843333333","0,0058349777853033335","-0,08843401396686999","-0,08259903618156667","-0,08259903618156667"
74,2025-09-20,source,2025-09-20 14:15:00,"3069,7270000000017","5802,569783999999","-9,2","0,0","0,0","2732,8427839999977","0,0","2732,8427839999977","0,0","0,0","0,0","0,0",1,"10827,225186295234","11476,275347495233","3327,2251862952344","6000,0","3976,2753474952337","6000,0","-0,0","0,0","-0,0","3239,803333333333","0,0","2562,7664506666665","0,0","0,005894362836533332","0,08224558231802","0,0","2562,7664506666665","2562,7664506666665","20,64","0,0006406916126666666","-0,01322387488544","-0,08224558231802","-0,09546945720345999","-0,09546945720345999"
74,2025-09-20,source,2025-09-20 14:30:00,"2994,1893333333346","5376,941287199999","2,29","0,0","0,0","2382,7519538666647","0,0","2382,7519538666647","0,0","0,0","0,0","0,0",1,"11476,275347495233","12042,178936538567","3976,2753474952337","6000,0","4542,178936538567","6000,0","0,0","0,0","0,0","3141,6089999999995","0,0","2235,3322872","0,0","-0,0012797277344219998","0,071737401426966","0,0","2235,3322872","2235,3322872","68,5","0,0005588330718","-0,0382800654183","-0,071737401426966","-0,110017466845266","-0,110017466845266"
74,2025-09-20,source,2025-09-20 14:45:00,"3803,341666666668","4979,8168848","21,1","0,0","779,5699480500984","396,905270083233","0,0","396,905270083233","0,0","0,0","0,0","0,0",1,"12042,178936538567","12136,443938183334","4542,178936538567","6000,0","4636,4439381833345","6000,0","0,00411223147596427","0,0","0,00411223147596427","3032,077","0,0","1168,1699367499004","0,0","-0,006162096416355726","0,037489493695146175","-779,5699480500984","1168,1699367499004","1947,739884799999","53,63","0,0004869349711999997","-0,026114322505455985","-0,03337726221918191","-0,05949158472463789","-0,05949158472463789"
74,2025-09-20,source,2025-09-20 15:00:00,"3330,3390000000018","4584,2283396","-27,29","0,0","0,0","1253,8893395999985","0,0","1253,8893395999985","0,0","0,0","0,0","0,0",1,"12136,443938183334","12434,242656338334","4636,4439381833345","6000,0","4934,242656338334","6000,0","-0,0","0,0","-0,0","2752,9589999999994","0,0","1831,2693396000009","0,0","0,012493835069421005","0,05877001128111303","0,0","1831,2693396000009","1831,2693396000009","25,36","0,0004578173349000002","-0,011610247613064005","-0,05877001128111303","-0,07038025889417704","-0,07038025889417704"
