Uhrzeit;Netzbezug [kW];Netzeinspeisung [kW];Stromverbrauch [kW];Akkubeladung [kW];Akkuentnahme [kW];Stromerzeugung [kW];Akku Spannung [V];Akku Stromstärke [A]
06.10.2025 00:06:38;0,337072;0;0,337255;0;0;0;50,299999;0
06.10.2025 00:11:40;0,327953;0;0,327407;0;0;0;50,299999;0
06.10.2025 00:16:43;0,240213;0;0,240756;0;0;0;50,400002;0
06.10.2025 00:21:44;0,146545;0;0,145998;0;0;0;50,299999;0
06.10.2025 00:26:46;0,146242;0;0,146969;0;0;0;50,400002;0
06.10.2025 00:31:48;0,175345;0;0,176072;0;0;0;50,299999;0
06.10.2025 00:36:50;0,26138;0;0,260471;0;0;0;50,299999;0
06.10.2025 00:41:52;0,257196;0;0,25756;0;0;0;50,400002;0
06.10.2025 00:46:54;0,253195;0;0,25174;0;0;0;50,299999;0
06.10.2025 00:51:56;0,256287;0;0,25756;0;0;0;50,299999;0
06.10.2025 00:56:58;0,202447;0;0,202265;0;0;0;50,299999;0
06.10.2025 01:02:00;0,206085;0;0,20663;0;0;0;50,299999;0
06.10.2025 01:07:02;0,204811;0;0,20372;0;0;0;50,299999;0
06.10.2025 01:12:04;0,783776;0;0,784322;0;0;0;50,299999;0
06.10.2025 01:17:06;2,308584;0;2,309312;0;0;0;50,299999;0
06.10.2025 01:22:09;1,491131;0;1,49095;0;0;0;50,299999;0
06.10.2025 01:27:10;1,342996;0;1,343179;0;0;0;50,299999;0
06.10.2025 01:32:12;1,27034;0;1,27034;0;0;0;50,299999;0
06.10.2025 01:37:14;0,453823;0;0,452549;0;0;0;50,299999;0
06.10.2025 01:42:16;0,193534;0;0,193534;0;0;0;50,299999;0
06.10.2025 01:47:18;0,196808;0;0,196444;0;0;0;50,299999;0
06.10.2025 01:52:18;0,294983;0;0,295898;0;0;0;50,299999;0
06.10.2025 01:57:20;0,350144;0;0,350689;0;0;0;50,299999;0
06.10.2025 02:02:22;0,332682;0;0,331773;0;0;0;50,299999;0
06.10.2025 02:07:24;0,330317;0;0,330317;0;0;0;50,299999;0
06.10.2025 02:12:26;0,229731;0;0,229913;0;0;0;50,299999;0
06.10.2025 02:17:29;0,145034;0;0,145034;0;0;0;50,299999;0
06.10.2025 02:22:30;0,14034;0;0,140158;0;0;0;50,299999;0
06.10.2025 02:27:32;0,177891;0;0,178983;0;0;0;50,299999;0
06.10.2025 02:32:34;0,254104;0;0,253195;0;0;0;50,299999;0
06.10.2025 02:37:36;0,25756;0;0,25756;0;0;0;50,299999;0
06.10.2025 02:42:39;0,25381;0;0,25381;0;0;0;50,299999;0
06.10.2025 02:47:40;0,230311;0;0,229216;0;0;0;50,299999;0
06.10.2025 02:52:42;0,197354;0;0,197899;0;0;0;50,299999;0
06.10.2025 02:57:45;0,192714;0;0,192895;0;0;0;50,299999;0
06.10.2025 03:02:46;0,188702;0;0,189797;0;0;0;50,299999;0
06.10.2025 03:07:48;0,309945;0;0,309945;0;0;0;50,299999;0
06.10.2025 03:12:51;1,25527;0;1,254544;0;0;0;50,299999;0
06.10.2025 03:17:52;2,481596;0;2,480501;0;0;0;50,299999;0
06.10.2025 03:22:54;1,353828;0;1,354738;0;0;0;50,200001;0
06.10.2025 03:27:56;1,249968;0;1,249968;0;0;0;50,200001;0
06.10.2025 03:32:56;1,0979;0;1,098633;0;0;0;50,200001;0
06.10.2025 03:37:58;0,165886;0;0,164431;0;0;0;50,299999;0
06.10.2025 03:43:00;0,203356;0;0,20372;0;0;0;50,200001;0
06.10.2025 03:48:02;0,285026;0;0,285208;0;0;0;50,299999;0
06.10.2025 03:53:04;0,34596;0;0,346324;0;0;0;50,200001;0
06.10.2025 03:58:06;0,324497;0;0,324497;0;0;0;50,200001;0
06.10.2025 04:03:08;0,313765;0;0,314311;0;0;0;50,200001;0
06.10.2025 04:08:10;0,27775;0;0,277932;0;0;0;50,200001;0
06.10.2025 04:13:12;0,207722;0;0,20663;0;0;0;50,200001;0
06.10.2025 04:18:13;0,192899;0;0,192717;0;0;0;50,200001;0
06.10.2025 04:23:14;0,234144;0;0,235056;0;0;0;50,200001;0
06.10.2025 04:28:16;0,259015;0;0,259015;0;0;0;50,200001;0
06.10.2025 04:33:18;0,256105;0;0,256105;0;0;0;50,200001;0
06.10.2025 04:38:20;0,254104;0;0,253195;0;0;0;50,200001;0
06.10.2025 04:43:22;0,198991;0;0,199355;0;0;0;50,200001;0
06.10.2025 04:48:24;0,157519;0;0,158611;0;0;0;50,200001;0
06.10.2025 04:53:26;0,143695;0;0,144059;0;0;0;50,200001;0
06.10.2025 04:58:28;0,154973;0;0,154245;0;0;0;50,200001;0
06.10.2025 05:03:30;0,265018;0;0,264836;0;0;0;50,200001;0
06.10.2025 05:08:32;0,304852;0;0,304125;0;0;0;50,200001;0
06.10.2025 05:13:34;1,76145;0;1,762178;0;0;0;50,200001;0
06.10.2025 05:18:36;2,090676;0;2,089585;0;0;0;50,200001;0
06.10.2025 05:23:38;1,218864;0;1,21941;0;0;0;50,200001;0
06.10.2025 05:28:40;1,197219;0;1,196127;0;0;0;50,200001;0
06.10.2025 05:33:42;2,906648;0;2,90883;0;0;0;50,200001;0
06.10.2025 05:38:44;1,420947;0;1,420219;0;0;0;50,200001;0
06.10.2025 05:43:47;1,326155;0;1,325611;0;0;0;50,200001;0
06.10.2025 05:48:48;1,334602;0;1,335879;0;0;0;50,200001;0
06.10.2025 05:53:50;0,382884;0;0,381247;0;0;0;50,200001;0
06.10.2025 05:58:52;0,29594;0;0,296849;0;0;0;50,200001;0
06.10.2025 06:03:54;0,228457;0;0,227002;0;0;0;50,200001;0
06.10.2025 06:08:56;0,180801;0;0,181893;0;0;0;50,099998;0
06.10.2025 06:13:58;0,174253;0;0,173162;0;0;0;50,099998;0
06.10.2025 06:19:00;1,776911;0;1,778184;0;0;0;50,099998;0
06.10.2025 06:24:02;2,2582;0;2,258382;0;0;0;50,099998;0
06.10.2025 06:29:04;1,745808;0;1,746171;0;0;0;50,099998;0
06.10.2025 06:34:06;1,683782;0;1,6836;0;0;0;50,099998;0
06.10.2025 06:39:09;1,541712;0;1,541712;0;0;0;50,200001;0
06.10.2025 06:44:10;1,389898;0;1,389898;0;0;0;50,200001;0
06.10.2025 06:49:12;1,288165;0;1,287801;0;0;0;50,099998;0
06.10.2025 06:54:13;1,271458;0;1,27018;0;0;0;50,099998;0
06.10.2025 06:59:14;1,353581;0;1,354859;0;0;0;50,099998;0
06.10.2025 07:04:16;1,350191;0;1,350373;0;0;0;50,099998;0
06.10.2025 07:09:19;2,177505;0;2,176961;0;0;0;50,099998;0
06.10.2025 07:14:21;3,45269;0;3,453054;0;0;0;50,099998;0
06.10.2025 07:19:22;2,540178;0;2,5389;0;0;0;50,099998;0
06.10.2025 07:24:24;2,01319;0;2,015373;0;0;0;50,099998;0
06.10.2025 07:29:26;1,526081;0;1,52499;0;0;0;50,099998;0
06.10.2025 07:34:28;0,406531;0;0,40744;0;0;0;50,099998;0
06.10.2025 07:39:30;0,380156;0;0,385613;0;0;0,005821;50,099998;0
06.10.2025 07:44:32;0,405439;0;0,421991;0;0;0,017462;50,099998;0
06.10.2025 07:49:34;0,405985;0;0,430722;0;0;0,024737;50,099998;0
06.10.2025 07:54:37;0,28898;0;0,332128;0;0;0,04206;50,099998;0
06.10.2025 07:59:38;0,240896;0;0,309515;0;0;0,070079;50,099998;0
06.10.2025 08:04:40;0,1999;0;0,324497;0;0;0,122232;50,099998;0
06.10.2025 08:09:43;0,161532;0;0,332128;0;0;0,17114;50,099998;0
06.10.2025 08:14:44;1,182764;0;1,365079;0;0;0,185417;50,099998;0
06.10.2025 08:19:46;0,930018;0;1,148108;0;0;0,215361;50,099998;0
06.10.2025 08:24:48;0,970944;0;1,191762;0;0;0,219727;50,099998;0
06.10.2025 08:29:50;2,557413;0;2,69929;0;0;0,144059;50,099998;0
06.10.2025 08:34:52;1,428768;0;1,565734;0;0;0,136783;50,099998;0
06.10.2025 08:39:54;1,332001;0;1,449322;0;0;0,116411;50,099998;0
06.10.2025 08:44:56;1,172118;0;1,312539;0;0;0,142604;50;0
06.10.2025 08:49:58;1,254879;0;1,427495;0;0;0,171707;50;0
06.10.2025 08:55:00;1,285619;0;1,503163;0;0;0,216816;50,099998;0
06.10.2025 09:00:02;1,106636;0;1,385296;0;0;0,279387;50;0
06.10.2025 09:05:04;1,052796;0;1,3722;0;0;0,320131;50;0
06.10.2025 09:10:06;0,928563;0;1,247057;0;0;0,315766;50;0
06.10.2025 09:15:08;0,98877;0;1,300898;0;0;0,314311;50;0
06.10.2025 09:20:10;0,872176;0;1,239782;0;0;0,368151;50;0
06.10.2025 09:25:12;0,961304;0;1,277615;0;0;0,314311;50;0
06.10.2025 09:30:13;1,091515;0;1,405958;0;0;0,315355;50;0
06.10.2025 09:35:15;1,093358;0;1,415854;0;0;0,323042;50;0
06.10.2025 09:40:17;2,031743;0;2,39953;0;0;0,368151;50;0
06.10.2025 09:45:19;1,860036;0;2,296215;0;0;0,435088;50;0
06.10.2025 09:50:19;1,35553;0;1,728516;0;0;0,37207;50;0
06.10.2025 09:55:22;0,318712;0;0,433652;0,271214;0;0,387241;50,599998;8
06.10.2025 10:00:23;0,797878;0,01679;0,960665;0,237246;0,02117;0,395654;50,599998;0
06.10.2025 10:05:25;0,110591;0,002183;0,445274;0,025465;0,008003;0,355055;50,5;0
06.10.2025 10:10:27;0,112592;0;0,435088;0;0;0,323042;50,5;0
06.10.2025 10:15:29;0,626803;0,002183;0,924016;0,040744;0,000728;0,337593;50,5;0
06.10.2025 10:20:31;0,005275;0,061844;0,442363;0,038561;0;0,539858;50,5;2,1
06.10.2025 10:25:33;0,015461;0,018917;0,389978;0,232823;0;0,624256;50,799999;5,5
