Uhrzeit;Netzbezug [kW];Netzeinspeisung [kW];Stromverbrauch [kW];Akkubeladung [kW];Akkuentnahme [kW];Stromerzeugung [kW];Akku Spannung [V];Akku Stromstärke [A]
21.07.2025 15:25;0,004384;0,671251;0,458405;1,456872;0,001728;1,667375;53,400002;32,099998
21.07.2025 15:30;0,005215;0,039606;0,719727;1,857017;0;2,611135;53,599998;37,599998
21.07.2025 15:36;0,00089;0,309334;0,778918;2,087163;0;3,161341;53,700001;43,200001
21.07.2025 15:41;0;2,320619;0,82973;2,323462;0;5,473811;53,700001;43,099998
21.07.2025 15:46;0;1,853554;0,603253;2,316121;0;4,772932;53,799999;43,200001
21.07.2025 15:51;0;1,71465;0,556282;2,319212;0;4,590141;53,799999;43,299999
21.07.2025 15:56;0;1,512372;0,551711;2,327672;0;4,391756;53,799999;43,099998
21.07.2025 16:01;0;1,568806;0,485081;2,314709;0;4,3686;53,700001;43,099998
21.07.2025 16:06;0,005027;1,258354;0,598498;2,309855;0;4,161684;53,700001;31,4
21.07.2025 16:11;0,002838;1,407738;0,590773;2,275264;0;4,270935;53,799999;43,099998
21.07.2025 16:16;0,012331;1,312852;0,577053;2,231996;0;4,109568;53,799999;43,200001
21.07.2025 16:21;0,007587;1,324592;0,568959;2,270094;0;4,156058;53,799999;43,200001
21.07.2025 16:26;0;1,400353;0,577945;2,314768;0;4,293071;53,799999;43,200001
21.07.2025 16:31;0;1,484837;0,483046;2,315503;0;4,283386;53,799999;43,099998
21.07.2025 16:36;0;1,450386;0,447439;2,324051;0;4,221882;53,799999;43,099998
21.07.2025 16:41;0;1,316222;0,472363;2,314001;0;4,102592;53,799999;43,099998
21.07.2025 16:46;0,011274;0,870884;0,459946;2,045631;0;3,365192;53,700001;43,299999
21.07.2025 16:51;0,000726;1,095053;0,592983;2,307606;0;3,994913;53,799999;43
21.07.2025 16:56;0;0,994835;0,588681;2,316024;0;3,899546;53,799999;43,200001
21.07.2025 17:01;0;0,976819;0,583135;2,3255;0;3,885442;53,799999;43,200001
21.07.2025 17:06;0;0,939013;0,58399;2,31738;0;3,840389;53,799999;43
21.07.2025 17:11;0;0,796134;0,5954;2,312499;0;3,711765;53,900002;43
21.07.2025 17:16;0;0,893335;0,470919;2,313472;0;3,670058;53,900002;43
21.07.2025 17:21;0;0,829253;0,444539;2,320587;0;3,594383;53,900002;43
21.07.2025 17:26;0,000296;0,821774;0,448012;2,311741;0;3,581228;54;42,799999
21.07.2025 17:31;0,011182;0,513906;0,53643;1,700314;0;2,739476;54;42,799999
21.07.2025 17:36;0,018408;0,575505;0,620065;1,85853;0;3,035685;54;42,799999
