valid_time,aswdir_s,aswdifd_s,t_2m
2025-08-20 18:30:00,"-0,5619400000014139","0,14296999999896798","289,66534423828125"
2025-08-20 18:45:00,"0,2654399999992165","0,10185000000092259","289,6677551269531"
2025-08-20 19:00:00,"0,07832000000053085","-0,1328300000004674","289,670166015625"
2025-08-20 19:15:00,"0,031059999999342836","0,03065000000060536","289,6870880126953"
2025-08-20 19:30:00,"0,12520000000040454","-0,007020000000920845","289,7040100097656"
2025-08-20 19:45:00,"-0,2664199999981065","0,04640000000108557","289,72093200683594"
2025-08-20 20:00:00,"0,0941499999989901","-0,12044000000059896","289,73785400390625"
2025-08-20 20:15:00,"-0,04666999999972177","0,11233999999967637","289,77816009521484"
2025-08-20 20:30:00,"-0,07031000000097265","0,11774999999943248","289,81846618652344"
2025-08-20 20:45:00,"0,023230000000694417","-0,12472999999954482","289,85877227783203"
2025-08-20 21:00:00,"0,234375","0,03477999999995518","289,8990783691406"
2025-08-20 21:15:00,"-0,109375","-0,05882000000019616","289,9154739379883"
2025-08-20 21:30:00,"-0,359375","-0,08167999999932363","289,93186950683594"
2025-08-20 21:45:00,"0,1716550000001007","-0,03535999999985506","289,9482650756836"
2025-08-20 22:00:00,"0,1252199999998993","0,08208999999988009","289,96466064453125"
2025-08-20 22:15:00,"0,172099999999773","-0,08183000000099128","290,00785064697266"
2025-08-20 22:30:00,"-0,39888999999857333","0,16735000000153377","290,05104064941406"
2025-08-20 22:45:00,"0,17956999999842083","-0,2299299999995128","290,09423065185547"
2025-08-20 23:00:00,"0,13717999999971653","0,14447999999902095","290,1374206542969"
2025-08-20 23:15:00,"-0,1916399999990972","-0,1442399999996269","290,1830596923828"
2025-08-20 23:30:00,"-0,0777700000016921","0,16988999999921361","290,22869873046875"
2025-08-20 23:45:00,"0,11719000000084634","-0,013409999999566935","290,2743377685547"
2025-08-21 00:00:00,"0,015385000000605942","0,03809499999988475","290,3199768066406"
2025-08-21 00:15:00,"-0,015625","-0,04657500000030268","290,35587310791016"
2025-08-21 00:30:00,"0,023189999999885913","0,1075700000001234","290,3917694091797"
2025-08-21 00:45:00,"0,13281000000097265","-0,07612999999946624","290,4276657104492"
2025-08-21 01:00:00,"-0,08216000000174972","-0,02132999999957974","290,46356201171875"
2025-08-21 01:15:00,"0,16028000000187603","0,08050999999977648","290,49412536621094"
2025-08-21 01:30:00,"-0,3313900000011927","0,026531999999861","290,5246887207031"
2025-08-21 01:45:00,"0,03502999999909662","0,015887999999904423","290,5552520751953"
2025-08-21 02:00:00,"0,062240000001111184","-0,16020000000025902","290,5858154296875"
2025-08-21 02:15:00,"0,14804000000003725","0,1137799999996787","290,5943298339844"
2025-08-21 02:30:00,"-0,1248699999996461","0,01471999999921536","290,60284423828125"
2025-08-21 02:45:00,"0,07031000000097265","-0,04677999999876192","290,6113586425781"
2025-08-21 03:00:00,"-0,10102000000188127","-0,07364500000039698","290,619873046875"
2025-08-21 03:15:00,"0,20243999999911466","0,1483250000001135","290,7029800415039"
2025-08-21 03:30:00,"-0,3002299999989191","-0,021609999999782303","290,7860870361328"
2025-08-21 03:45:00,"0,10533000000032189","-0,16206200000124227","290,8691940307617"
2025-08-21 04:00:00,"0,12932999999975436","0,16787700000168115","290,9523010253906"
2025-08-21 04:15:00,"-0,2460899999987305","1,2074749999992491","290,95252227783203"
2025-08-21 04:30:00,"0,31235999999807973","8,592995000000883","290,95274353027344"
2025-08-21 04:45:00,"0,02344000000084634","18,304724999999962","290,95296478271484"
2025-08-21 05:00:00,"-0,23031999999875552","26,727027999999336","290,95318603515625"
2025-08-21 05:15:00,"-0,45010000000183936","35,93297200000052","291,04141998291016"
2025-08-21 05:30:00,"-0,1670799999992596","28,838089999999283","291,12965393066406"
2025-08-21 05:45:00,"-0,30874000000039814","23,07878999999957","291,21788787841797"
2025-08-21 06:00:00,"0,05783999999948719","20,177279999999882","291,3061218261719"
2025-08-21 06:15:00,"-0,4803199999987555","20,572980000000825","291,3097915649414"
2025-08-21 06:30:00,"-0,515320000000429","30,30101999999897","291,31346130371094"
2025-08-21 06:45:00,"-0,515159999999014","25,89104000000043","291,31713104248047"
2025-08-21 07:00:00,"-0,48109000000113156","37,24909999999909","291,32080078125"
2025-08-21 07:15:00,"-0,9020300000011048","46,091480000000956","291,32435607910156"
2025-08-21 07:30:00,"1,1795300000012503","50,75984000000062","291,3279113769531"
2025-08-21 07:45:00,"-0,65625","75,13213999999971","291,3314666748047"
2025-08-21 08:00:00,"-0,9925100000000384","94,10083999999915","291,33502197265625"
2025-08-21 08:15:00,"0,7272099999991042","79,61230000000069","291,3363342285156"
2025-08-21 08:30:00,"2,0030900000001566","88,68663000000015","291,337646484375"
2025-08-21 08:45:00,"2,3092500000002474","135,2116219999989","291,3389587402343"
2025-08-21 09:00:00,"1,6092100000005303","111,75145800000064","291,3402709960937"
2025-08-21 09:15:00,"3,539230000000316","120,4063900000001","291,3621444702148"
2025-08-21 09:30:00,"15,031419999999343","152,13125000000036","291,38401794433594"
2025-08-21 09:45:00,"-1,3518999999996595","144,3500699999986","291,40589141845703"
2025-08-21 10:00:00,"-0,9493899999997666","149,52570000000196","291,4277648925781"
2025-08-21 10:15:00,"0,5667499999999563","143,02416000000085","291,4687042236328"
2025-08-21 10:30:00,"3,2263899999998102","175,46033999999963","291,5096435546875"
2025-08-21 10:45:00,"7,062849999998434","186,61567999999897","291,5505828857422"
2025-08-21 11:00:00,"1,6402750000015658","219,95555500000046","291,5915222167969"
