run_id,horizon_start,horizon_end_exclusive,dispatch_day,initial_soc_wh,soc_next_publish_wh,objective_horizon_eur,opt_revenue_dispatch_day_eur,opt_cycle_aging_cost_dispatch_day_eur,opt_revenue_dispatch_day_after_aging_eur,solver_status,solver_termination,n_horizon_steps,n_dispatch_steps,terminal_soc_enforced,real_revenue_dispatch_day_eur,real_rebap_settlement_dispatch_day_eur,real_revenue_dispatch_day_net_eur,scenario
0,2025-07-08,2025-07-09 10:45:00,2025-07-08,"5000,0","4584,058946122076","0,5894723692510859","0,9846081060166845","0,39368042466746955","0,590927681349215",ok,optimal,139,96,False,"0,9846081060166845","-0,005535945078214026","0,9790721609384704",transfer
1,2025-07-09,2025-07-10 10:45:00,2025-07-09,"4584,058946122076","5217,943947368421","-0,016384469201903284","0,6725788468005205","0,47832025245964355","0,194258594340877",ok,optimal,139,96,False,"0,6725788468005205","0,4962236735652412","1,1688025203657617",transfer
2,2025-07-10,2025-07-11 10:45:00,2025-07-10,"5217,943947368421","4982,946753385964","-0,7560851004462092","-0,22633741418074815","0,37506286950549916","-0,6014002836862473",ok,optimal,139,96,False,"-0,22633741418074815","0,2632703422356545","0,036932928054906354",transfer
3,2025-07-11,2025-07-12 10:45:00,2025-07-11,"4982,946753385964","3284,072542859648","0,10618762436810569","0,9903824323054905","0,8800596690708478","0,11032276323464278",ok,optimal,139,96,False,"0,9903824323054905","0,05748220128387627","1,0478646335893667",transfer
4,2025-07-12,2025-07-13 10:45:00,2025-07-12,"3284,072542859648","3957,3203508771912","0,8379591410698073","1,164770705102927","0,5553946715021829","0,6093760336007443",ok,optimal,139,96,False,"1,1647707051029272","-0,25705850709543954","0,9077121980074877",transfer
5,2025-07-13,2025-07-14 10:45:00,2025-07-13,"3957,3203508771912","5360,128072175504","1,4351278674511772","1,3339169135514326","0,5011110952990095","0,8328058182524232",ok,optimal,139,96,False,"1,3339169135514326","-0,35255710179677213","0,9813598117546605",transfer
6,2025-07-14,2025-07-15 10:45:00,2025-07-14,"5360,128072175504","3869,261667501759","1,8657088874679455","2,2816965320030125","0,6272468134068464","1,6544497185961662",ok,optimal,139,96,False,"2,2816965320030125","-0,5551836660485474","1,7265128659544653",transfer
7,2025-07-15,2025-07-16 10:45:00,2025-07-15,"3869,261667501759","3560,494648122805","1,0339338145988786","1,6612546575967593","0,6906582828101564","0,9705963747866029",ok,optimal,139,96,False,"1,6612546575967593","-0,3672412546157007","1,2940134029810586",transfer
8,2025-07-16,2025-07-17 10:45:00,2025-07-16,"3560,494648122805","5051,297631578953","0,848049777968982","1,1099083880897451","0,42609461773716606","0,6838137703525791",ok,optimal,139,96,False,"1,1099083880897451","-0,19059877872260403","0,919309609367141",transfer
9,2025-07-17,2025-07-18 10:45:00,2025-07-17,"5051,297631578953","4520,650494396491","1,3618432165919037","1,745564995051961","0,6775697288690019","1,067995266182959",ok,optimal,139,96,False,"1,745564995051961","-0,455347148832368","1,290217846219593",transfer
10,2025-07-18,2025-07-19 10:45:00,2025-07-18,"4520,650494396491","4069,6121534912277","1,590307632243341","2,060762383215052","0,5939945098733711","1,4667678733416811",ok,optimal,139,96,False,"2,060762383215052","0,5908844703702446","2,651646853585297",transfer
11,2025-07-19,2025-07-20 10:45:00,2025-07-19,"4069,6121534912277","3488,533855438595","0,7923427176327625","1,4316551376533106","0,6981879481043386","0,7334671895489722",ok,optimal,139,96,False,"1,4316551376533106","-0,3187704504898943","1,1128846871634164",transfer
12,2025-07-20,2025-07-21 10:45:00,2025-07-20,"3488,533855438595","4828,296798245615","0,886486176565602","1,3967356562230433","0,5372224627997703","0,8595131934232731",ok,optimal,139,96,False,"1,3967356562230433","-0,028169346014705776","1,3685663102083376",transfer
13,2025-07-21,2025-07-22 10:45:00,2025-07-21,"4828,296798245615","4004,033595043104","2,1809148433502745","2,6032834746670885","0,5963508247671057","2,0069326498999827",ok,optimal,139,96,False,"2,6032834746670885","-1,8731127936361236","0,7301706810309648",transfer
14,2025-07-22,2025-07-23 10:45:00,2025-07-22,"4004,033595043104","6350,786929824562","0,898030156806619","1,2321927958431313","0,447438175520623","0,7847546203225084",ok,optimal,139,96,False,"1,2321927958431313","0,2609820805017935","1,493174876344925",transfer
15,2025-07-23,2025-07-24 10:45:00,2025-07-23,"6350,786929824562","4531,679210449634","1,0658728760496936","1,842995121812654","0,7879589198308855","1,0550362019817685",ok,optimal,139,96,False,"1,842995121812654","0,47517368286978573","2,31816880468244",transfer
16,2025-07-24,2025-07-25 10:45:00,2025-07-24,"4531,679210449634","3326,6309863964934","1,1258720491801049","1,5669317431916632","0,7038448022586019","0,863086940933061",ok,optimal,139,96,False,"1,566931743191663","-1,3228381779192881","0,2440935652723747",transfer
17,2025-07-25,2025-07-26 10:45:00,2025-07-25,"3326,6309863964934","4216,924569719652","-0,5082097249613537","0,12011633296794591","0,42661462837629216","-0,3064982954083463",ok,optimal,139,96,False,"0,12011633296794588","0,7759793054424562","0,8960956384104021",transfer
