date,group,nMAE,nRMSE,count
2025-07-07,all,0.11044895347009345,0.1358697077308846,214
2025-07-07,day_ahead,,,0
2025-07-07,intra_day,0.11044895347009345,0.1358697077308846,214
2025-07-08,all,0.07475621848740181,0.09408848478770926,662
2025-07-08,day_ahead,0.07698433820758929,0.09654583005326564,448
2025-07-08,intra_day,0.07009174355915888,0.08872403016653513,214
2025-07-09,all,0.08011270665758266,0.10196117532453856,877
2025-07-09,day_ahead,0.07965351941509717,0.10149921889264844,669
2025-07-09,intra_day,0.08158961177884616,0.10343299824856822,208
2025-07-10,all,0.09992199150843785,0.1303307384838382,877
2025-07-10,day_ahead,0.09997733532242153,0.13191872901659632,669
2025-07-10,intra_day,0.09974398664519232,0.125086590385158,208
2025-07-11,all,0.1062988350381528,0.13064471619284587,877
2025-07-11,day_ahead,0.10599171920278025,0.1304334476072977,669
2025-07-11,intra_day,0.10728662587403846,0.13132192448326044,208
2025-07-12,all,0.08511633818973773,0.11260719173500842,877
2025-07-12,day_ahead,0.08584492446427504,0.11410858561541233,669
2025-07-12,intra_day,0.08277295252788462,0.1076362791539206,208
2025-07-13,all,0.08453596581049032,0.10834078390068444,877
2025-07-13,day_ahead,0.08671914919850524,0.11055974511931257,669
2025-07-13,intra_day,0.07751409231730769,0.10087340531037432,208
2025-07-14,all,0.10728591308097335,0.13803857310789192,863
2025-07-14,day_ahead,0.10782245214881098,0.1402709689712255,656
2025-07-14,intra_day,0.10558557671140097,0.13071230326547795,207
2025-07-15,all,0.08938845516475087,0.1196799952306897,863
2025-07-15,day_ahead,0.09402464139939025,0.12529443365179166,656
2025-07-15,intra_day,0.07469600023758453,0.09982266879986554,207
2025-07-16,all,0.07229294075105445,0.09627498615369992,863
2025-07-16,day_ahead,0.07112644789734755,0.09464835599184049,656
2025-07-16,intra_day,0.07598965240338164,0.1012574362033857,207
2025-07-17,all,0.09608736675724217,0.12510596015869369,863
2025-07-17,day_ahead,0.10002770475182925,0.12922649326391836,656
2025-07-17,intra_day,0.08360011204975845,0.11104210824693761,207
2025-07-18,all,0.06361819166882968,0.08472672776313808,863
